DateTime,AddedIPs,RemovedIPs
1550367595,256,256
1550368831,256,256
1550369498,1,0
1550373063,3,20
1550376715,1,2
1550380295,2,0
1550384122,3,3
1550387515,2,2
1550391322,3,1
1550394665,1,0
1550398289,2,4
1550401882,1,3
1550405723,1,1
1550408102,1024,2048
1550409107,2,3
1550411702,768,768
1550412902,3,1
1550416518,3,2
1550418302,256,256
1550420116,0,2
1550423717,1,2
1550427302,1,1
1550430919,1,0
1550434520,1,3
1550438120,2,1
1550441720,4,3
1550445320,2,1
1550448920,7,8
1550452502,15,5
1550456102,1,5
1550459727,7,12
1550463321,4,18
1550466902,3,2
1550470502,6,1
1550473907,0,5
1550477479,1,3
1550481076,0,3
1550484663,0,2
1550488524,2,1
1550492123,2,3
1550494205,1536,1280
1550495507,1,2
1550499302,5,1
1550502918,2,0
1550503892,256,256
1550506802,3,1
1550509898,3,1
1550511018,256,256
1550513475,1,2
1550517602,1,2
1550520920,1,3
1550524298,1,2
1550527862,1,1
1550531721,1,0
1550533141,256,256
1550535323,8,0
1550538923,18,1
1550542522,1,1
1550546123,3,1
1550549723,2,22
1550553166,4,1
1550558702,7,5
1550560802,6,3
1550563879,3,2
1550567724,4,1
1550571602,1,1
1550574924,0,1
1550578523,1,3
1550580902,1280,558336
1550582126,5,3
1550585495,2,0
1550589088,3,2
1550596523,3,4
1550597702,1536,1536
1550600116,1,1
1550603102,256,256
1550603718,0,15
1550604985,256,256
1550607070,5,0
1550610919,260,257
1550614518,3,2
1550618118,0,1
1550619020,512,512
1550621704,2,0
1550625322,9,1
1550628922,4,2
1550632521,1,14
1550635877,10,12
1550639721,2,2
1550643321,1,1
1550646921,2,10
1550650323,2,5
1550654124,2,1
1550657510,2,1
1550661322,2,0
1550664922,3,3
1550667602,2048,32000
1550668521,3,3
1550672121,2,1
1550675722,2,4
1550680223,2,6
1550682922,6,4
1550683202,0,367871
1550686284,4,1
1550687740,1024,1024
1550689874,0,1
1550693716,1,1
1550697316,0,2
1550700916,0,5
1550704311,6,1
1550707505,0,1
1550710202,22,3
1550712002,8,2
1550715136,5,1
1550718920,4,22
1550722331,6,7
1550725912,5,4
1550727020,256,256
1550729530,0,2
1550733075,3,4
1550736690,4,3
1550740502,2,1
1550743894,3,2
1550747722,2,1
1550751320,1,6
1550753702,1280,44032
1550754920,4,4
1550758520,4,3
1550761900,3,1
1550765720,2,4
1550769085,3,2
1550770525,512,512
1550772711,2,6
1550776287,2,5
1550777970,256,256
1550779916,6,4
1550783578,3,3
1550785106,512,512
1550787103,5,3
1550790723,3,1
1550794502,4,2
1550798103,19,5
1550801512,5,2
1550805302,5,20
1550809203,7,23
1550812519,7,3
1550816102,3,3
1550819719,1,6
1550823319,2,3
1550826902,0,3
1550830518,4,1
1550834102,2,2
