DateTime,Entries,UniqueIPs
1550354188,12730,12730
1550356126,11217,11217
1550358355,9526,9526
1550360463,7791,7791
1550362385,6311,6311
1550364309,5428,5428
1550366215,5435,5435
1550368111,5443,5443
1550370063,5453,5453
1550371962,5457,5457
1550373874,5451,5451
1550375820,5460,5460
1550377746,5471,5471
1550379759,5472,5472
1550381595,5481,5481
1550383561,5488,5488
1550385422,5498,5498
1550387340,5500,5500
1550389241,5503,5503
1550391174,5502,5502
1550393078,5532,5532
1550395009,5537,5537
1550396916,5545,5545
1550398859,5548,5548
1550400757,5567,5567
1550402686,5558,5558
1550404614,5560,5560
1550406534,5564,5564
1550408516,5578,5578
1550410384,5592,5592
1550412304,5607,5607
1550414204,5647,5647
1550416136,5660,5660
1550418034,5684,5684
1550419979,5712,5712
1550421873,5722,5722
1550423821,7123,7123
1550425925,7412,7412
1550427779,7580,7580
1550429586,7589,7589
1550431477,7632,7632
1550433423,7694,7694
1550435329,7774,7774
1550437322,7843,7843
1550439160,7890,7890
1550441122,7963,7963
1550442997,8020,8020
1550445172,8054,8054
1550447082,8092,8092
1550449276,8127,8127
1550451178,8155,8155
1550453093,8172,8172
1550455024,8185,8185
1550456913,8195,8195
1550458974,8204,8204
1550460807,8224,8224
1550462715,8248,8248
1550464623,8256,8256
1550466519,8276,8276
1550468448,8280,8280
1550470371,8302,8302
1550472300,8321,8321
1550474198,8865,8865
1550476121,9265,9265
1550478057,10122,10122
1550479984,11026,11026
1550481882,11849,11849
1550483817,12699,12699
1550485754,13573,13573
1550487761,14586,14586
1550489584,15390,15390
1550491559,16190,16190
1550493408,16947,16947
1550495334,17763,17763
1550497265,18537,18537
1550499169,19295,19295
1550501102,20137,20137
1550503015,20953,20953
1550504926,21037,21037
1550506737,21039,21039
1550508538,21041,21041
1550510473,20013,20013
1550512360,19852,19852
1550514298,19692,19692
1550516514,19697,19697
1550518385,19685,19685
1550520457,19674,19674
1550522446,19644,19644
1550524355,19627,19627
1550526291,19616,19616
1550528207,19602,19602
1550530110,19571,19571
1550532042,19557,19557
1550533983,19534,19534
1550535880,19520,19520
1550537811,19506,19506
1550539722,19490,19490
1550541751,19465,19465
1550543569,19457,19457
1550545536,19442,19442
1550547407,19426,19426
1550549562,19407,19407
1550551474,19389,19389
1550553407,19383,19383
1550555310,19368,19368
1550557256,19361,19361
1550559158,19349,19349
1550561107,19009,19009
1550562983,18075,18075
1550564913,17201,17201
1550566727,16291,16291
1550568750,15381,15381
1550570704,14508,14508
1550572608,13477,13477
1550574552,12570,12570
1550576471,11667,11667
1550578388,10815,10815
1550580307,9982,9982
1550582231,9156,9156
1550584125,8383,8383
1550586055,7615,7615
1550588003,6768,6768
1550589893,6141,6141
1550591806,6153,6153
1550593711,6179,6179
1550595723,6225,6225
1550597554,6258,6258
1550599612,6275,6275
1550601643,6320,6320
1550603580,6359,6359
1550605477,6384,6384
1550607398,6414,6414
1550609562,6448,6448
1550611473,6474,6474
1550613431,6514,6514
1550615567,6541,6541
1550617521,6549,6549
1550619418,6559,6559
1550621339,6563,6563
1550623227,6563,6563
1550625155,6569,6569
1550627070,6582,6582
1550629013,6582,6582
1550630930,6587,6587
1550632883,6596,6596
1550634767,6598,6598
1550636694,6597,6597
1550638625,6586,6586
1550640541,6572,6572
1550642556,6563,6563
1550644411,6560,6560
1550646344,6547,6547
1550648486,6553,6553
1550650516,6542,6542
1550652529,6558,6558
1550654481,6567,6567
1550656394,6558,6558
1550658301,6548,6548
1550660212,6544,6544
1550662121,6553,6553
1550664139,6566,6566
1550665986,6578,6578
1550667909,6571,6571
1550669824,6575,6575
1550671997,6550,6550
1550673912,6542,6542
1550675814,6528,6528
1550677744,6528,6528
1550680149,6530,6530
1550682200,6542,6542
1550684227,6551,6551
1550686113,6561,6561
1550688045,6549,6549
1550689954,6545,6545
1550691882,6543,6543
1550693840,6565,6565
1550695717,6575,6575
1550697639,6594,6594
1550699571,6614,6614
1550701495,6607,6607
1550703400,6625,6625
1550705347,6634,6634
1550707379,6643,6643
1550709410,6632,6632
1550711582,6634,6634
1550713463,6641,6641
1550715390,6636,6636
1550717335,6634,6634
1550719230,6613,6613
1550721144,6611,6611
1550723107,6602,6602
1550724988,6586,6586
1550727156,6587,6587
1550729115,6584,6584
1550731032,6564,6564
1550732912,6561,6561
1550734860,6539,6539
1550736757,6537,6537
1550738678,6506,6506
1550740854,6461,6461
1550742766,6445,6445
1550744684,6443,6443
1550746590,6434,6434
1550748778,6447,6447
1550750709,6440,6440
1550752602,6445,6445
1550754756,6438,6438
1550756667,6426,6426
1550758621,6429,6429
1550760796,6414,6414
1550762665,6406,6406
1550764612,6382,6382
1550766501,6397,6397
1550768513,6385,6385
1550770373,6385,6385
1550772295,6379,6379
